district,price,building_type,street,region,area,ceiling_height
Center,230000.0,stone,Abovyan St,Yerevan,110.0,3.2
Center,230000.0,stone,Pushkin St,Yerevan,120.0,3.0
Center,230000.0,monolit,Sayat Nova Ave,Yerevan,100.0,3.2
Center,30500.0,stone,Tigran Mets Ave,Yerevan,37.0,2.8
Center,29000.0,panel,NarDos St,Yerevan,42.0,2.8
Center,29000.0,stone,Tigran Mets Ave,Yerevan,34.0,2.8
Center,26700.0,panel,Isakov Ave,Yerevan,44.0,2.8
Center,200000.0,monolit,Verin Antarayin,Yerevan,126.0,3.0
Center,200000.0,monolit,Nalbandyan St,Yerevan,110.0,3.0
Center,200000.0,other,Nalbandyan St,Yerevan,108.0,2.8
Center,200000.0,monolit,Nalbandyan St,Yerevan,110.0,2.8
Center,200000.0,stone,Nalbandyan St,Yerevan,135.0,3.2
Center,200000.0,monolit,Antarayin St,Yerevan,116.0,3.2
Center,200000.0,monolit,Dzorap St,Yerevan,130.0,3.0
Center,200000.0,panel,Sayat Nova Ave,Yerevan,100.0,2.8
Center,200000.0,monolit,Yekmalyan St,Yerevan,135.0,3.2
Center,200000.0,other,Charents St,Yerevan,124.0,3.0
Center,200000.0,monolit,Dzorap St,Yerevan,130.0,3.0
Center,200000.0,stone,Pushkin St,Yerevan,145.0,3.2
Center,200000.0,other,Teryan St,Yerevan,107.0,2.8
Center,32000.0,stone,Arshakunyats Ave,Yerevan,57.0,2.8
Center,210000.0,stone,Mashtots Ave,Yerevan,89.0,3.0
Center,60000.0,stone,Mashtots Ave,Yerevan,48.0,3.2
Center,250000.0,stone,Amiryan St,Yerevan,80.0,3.2
Center,259000.0,monolit,Amiryan St,Yerevan,144.0,3.0
Center,260000.0,monolit,Aram St,Yerevan,140.0,3.0
Center,255000.0,monolit,Aram St,Yerevan,110.0,3.0
Center,255000.0,other,Aram St,Yerevan,149.0,3.0
Center,255000.0,stone,Mashtots Ave,Yerevan,110.0,3.0
Center,250000.0,monolit,Yekmalyan St,Yerevan,119.0,3.0
Center,250000.0,monolit,Aram St,Yerevan,145.0,2.8
Center,250000.0,monolit,Aram St,Yerevan,135.0,3.2
Center,255000.0,stone,Mashtots Ave,Yerevan,110.0,3.2
Center,250000.0,monolit,Vardanants St,Yerevan,103.0,3.2
Center,250000.0,stone,Abovyan St,Yerevan,130.0,3.2
Center,250000.0,monolit,Aram St,Yerevan,144.0,3.0
Center,75000.0,panel,Hin yerevantsi St,Yerevan,67.0,2.8
Center,80000.0,monolit,Tsitsernakaberd Highway,Yerevan,100.0,3.0
Center,41000.0,stone,Heratsi St,Yerevan,45.0,3.0
Center,98000.0,panel,Saryan St,Yerevan,71.0,2.8
Center,250000.0,monolit,Antarayin St,Yerevan,148.0,2.8
Center,250000.0,monolit,Verin Antarayin,Yerevan,148.0,3.0
Center,75000.0,monolit,Yekmalyan St,Yerevan,60.0,3.2
Center,28000.0,other,Kajaznuni St,Yerevan,40.0,2.8
Center,95000.0,stone,Nalbandyan St,Yerevan,78.0,3.2
Center,82000.0,stone,Mashtots Ave,Yerevan,67.0,3.2
Center,72000.0,other,D. Demirchyan St,Yerevan,70.0,3.0
Center,29000.0,stone,Koryun St,Yerevan,33.0,2.8
Center,250000.0,monolit,Pushkin St,Yerevan,125.0,2.8
Center,250000.0,monolit,Vardanants St,Yerevan,130.0,3.0
Center,250000.0,monolit,Vardanants St,Yerevan,130.0,2.8
Center,250000.0,stone,Tumanyan St,Yerevan,135.0,3.0
Center,250000.0,monolit,Antarayin St,Yerevan,148.0,3.0
Center,246000.0,monolit,Buzand St,Yerevan,80.0,2.8
Center,245000.0,other,Aram St,Yerevan,144.0,2.8
Center,245000.0,stone,Nalbandyan St,Yerevan,145.0,3.0
Center,245000.0,stone,Nalbandyan St,Yerevan,145.0,3.0
Center,240000.0,monolit,Yekmalyan St,Yerevan,130.0,3.2
Center,240000.0,monolit,Teryan St,Yerevan,137.0,3.0
Center,240000.0,panel,Teryan St,Yerevan,137.0,3.0
Center,159000.0,other,Mashtots Ave,Yerevan,82.0,2.8
Center,250000.0,stone,Antarayin St,Yerevan,117.0,3.2
Center,170000.0,stone,Isahakyan St,Yerevan,80.0,3.0
Center,72000.0,other,Bryusov St,Yerevan,85.0,2.8
Center,145000.0,stone,Abovyan St,Yerevan,60.0,2.8
Center,98000.0,other,Amiryan St,Yerevan,34.0,3.2
Center,72000.0,panel,Teryan St,Yerevan,42.0,2.8
Center,68000.0,stone,Mashtots Ave,Yerevan,31.0,3.2
Center,172500.0,monolit,Aram St,Yerevan,115.0,2.8
Center,117500.0,monolit,Buzand St,Yerevan,47.0,3.0
Center,61000.0,monolit,Argishti St,Yerevan,55.0,3.0
Center,145000.0,stone,Nalbandyan St,Yerevan,120.0,3.2
Center,81000.0,monolit,Antarayin St,Yerevan,90.0,3.0
Center,75000.0,monolit,Argishti St,Yerevan,89.0,3.0
Center,38000.0,stone,Arshakunyats Ave,Yerevan,54.0,3.0
Center,170000.0,stone,D. Demirchyan St,Yerevan,132.0,2.8
Center,82000.0,stone,Vardanants St,Yerevan,80.0,3.2
Center,175000.0,monolit,Rostom St,Yerevan,138.0,3.2
Center,200000.0,monolit,Northern Ave,Yerevan,65.0,3.0
Center,80000.0,stone,Mashtots Ave,Yerevan,70.0,3.2
Center,160000.0,monolit,Amiryan St,Yerevan,82.0,3.2
Center,82000.0,monolit,Saryan St,Yerevan,81.0,2.8
Center,98000.0,monolit,Argishti St,Yerevan,104.0,2.8
Center,90000.0,stone,Mashtots Ave,Yerevan,67.0,3.2
Center,115000.0,stone,Saryan St,Yerevan,90.0,3.0
Center,125000.0,stone,Nalbandyan St,Yerevan,91.0,2.8
Center,210000.0,stone,Tamanyan St,Yerevan,70.0,2.8
Center,67000.0,stone,D. Demirchyan St,Yerevan,90.0,2.8
Center,210000.0,monolit,Vardanants St,Yerevan,91.0,2.8
Center,33000.0,stone,Tigran Mets Ave 2 alley,Yerevan,60.0,3.2
Center,33000.0,stone,Tigran Mets Ave,Yerevan,34.0,2.8
Center,220000.0,stone,Sayat Nova Ave,Yerevan,88.0,3.2
Center,210000.0,monolit,Aram St,Yerevan,80.0,3.2
Center,205000.0,stone,Abovyan St,Yerevan,100.0,3.0
Center,205000.0,monolit,Buzand St,Yerevan,105.0,3.0
Center,210000.0,stone,Abovyan St,Yerevan,144.0,3.2
Center,205000.0,other,Tumanyan St,Yerevan,141.0,2.8
Center,205000.0,monolit,Buzand St,Yerevan,130.0,3.2
Center,215000.0,monolit,Hanrapetutyan St,Yerevan,107.0,2.8
Center,215000.0,monolit,Sayat Nova Ave,Yerevan,120.0,3.0
Center,211000.0,monolit,Leo St,Yerevan,136.0,3.2
Center,212000.0,monolit,Abovyan St,Yerevan,106.0,2.8
Center,33000.0,other,Kajaznuni St,Yerevan,40.0,2.8
Center,210000.0,stone,Tigran Mets Ave,Yerevan,97.0,2.8
Center,33000.0,panel,M.Khorenatsi St,Yerevan,41.0,2.8
Center,34000.0,stone,Tigran Mets Ave,Yerevan,46.0,3.0
Center,69000.0,stone,Charents St,Yerevan,72.0,3.2
Center,31500.0,panel,M.Khorenatsi St,Yerevan,40.0,2.8
Center,31600.0,panel,M.Khorenatsi St,Yerevan,40.0,2.8
Center,27000.0,panel,Tigran Mets Ave,Yerevan,39.0,2.8
Center,70000.0,stone,Saryan St,Yerevan,56.0,2.8
Center,90000.0,stone,Paronyan St,Yerevan,115.0,2.8
Center,220000.0,stone,Nalbandyan St,Yerevan,136.0,3.2
Center,175000.0,monolit,Aram St,Yerevan,105.0,3.0
Center,69000.0,other,Teryan St,Yerevan,42.0,2.8
Center,220000.0,stone,Nalbandyan St,Yerevan,145.0,2.8
Center,95000.0,other,Nalbandyan St,Yerevan,62.0,2.8
Center,35000.0,stone,Glinka St,Yerevan,65.0,2.8
Center,35000.0,other,M.Khorenatsi St,Yerevan,42.0,2.8
Center,35500.0,panel,Arshakunyats Ave,Yerevan,40.0,2.8
Center,145000.0,other,Amiryan St,Yerevan,89.0,2.8
Center,80000.0,stone,Paronyan St,Yerevan,78.0,2.8
Center,33500.0,other,Tigran Mets Ave,Yerevan,44.0,2.8
Center,62000.0,panel,E. Qochar St,Yerevan,69.0,2.8
Center,70000.0,stone,Mashtots Ave,Yerevan,60.0,3.2
Center,60000.0,panel,Vardanants St,Yerevan,41.0,2.8
Center,130000.0,stone,Tpagrichner St,Yerevan,98.0,2.8
Center,127000.0,monolit,Aram St,Yerevan,57.0,2.8
Center,69000.0,panel,Bryusov St,Yerevan,67.0,2.8
Center,160000.0,other,Buzand St,Yerevan,75.0,2.8
Center,115000.0,stone,Saryan St,Yerevan,110.0,2.8
Center,77000.0,monolit,Tsitsernakaberd Highway,Yerevan,86.0,3.2
Center,205000.0,monolit,Tumanyan St,Yerevan,141.0,2.8
Center,75000.0,stone,Tumanyan St,Yerevan,40.0,2.8
Center,115000.0,stone,Sayat Nova Ave,Yerevan,72.0,2.8
Center,200000.0,monolit,Aram St,Yerevan,126.0,3.2
Center,200000.0,monolit,M.Khorenatsi St,Yerevan,130.0,2.8
Center,200000.0,stone,Abovyan St,Yerevan,130.0,2.8
Center,90000.0,monolit,Yekmalyan St,Yerevan,65.0,3.2
Center,200000.0,monolit,A.Manukyan St,Yerevan,110.0,3.2
Center,83000.0,stone,Charents St,Yerevan,85.0,3.2
Center,170000.0,stone,Mashtots Ave,Yerevan,145.0,3.2
Center,200000.0,stone,Sayat Nova Ave,Yerevan,120.0,2.8
Center,165000.0,stone,D. Demirchyan St,Yerevan,132.0,3.0
Center,200000.0,monolit,Mashtots Ave,Yerevan,86.0,3.0
Center,98000.0,stone,Sayat Nova Ave,Yerevan,58.0,3.0
Center,95000.0,panel,Vardanants St,Yerevan,62.0,2.8
Center,70000.0,monolit,Tsitsernakaberd Highway,Yerevan,84.0,3.0
Center,85000.0,stone,Ghazar Parpetsi St,Yerevan,60.0,3.2
Center,90000.0,panel,Paronyan St,Yerevan,85.0,2.8
Center,115000.0,monolit,Paronyan St,Yerevan,80.0,2.8
Center,90000.0,panel,M.Khorenatsi St,Yerevan,74.0,2.8
Center,77000.0,panel,E. Qochar St,Yerevan,78.0,2.8
Center,60000.0,panel,Kajaznuni St,Yerevan,71.0,2.8
Center,62000.0,panel,Tigran Mets Ave,Yerevan,78.0,2.8
Center,60000.0,panel,NarDos St,Yerevan,65.0,2.8
Center,80000.0,stone,Leo St,Yerevan,97.0,3.2
Center,40000.0,panel,Agatangeghos St,Yerevan,40.0,2.8
Center,75000.0,monolit,Tsitsernakaberd Highway,Yerevan,79.0,3.0
Center,75000.0,other,Tumanyan St,Yerevan,58.0,2.8
Center,82500.0,stone,D. Demirchyan St,Yerevan,100.0,2.8
Center,98000.0,panel,Saryan St,Yerevan,71.0,2.8
Center,169000.0,stone,Sayat Nova Ave,Yerevan,120.0,2.8
Center,96000.0,other,Saryan St,Yerevan,56.0,2.8
Center,125000.0,stone,Saryan St,Yerevan,100.0,2.8
Center,155000.0,monolit,Tsitsernakaberd Highway,Yerevan,110.0,3.0
Center,118000.0,stone,Sayat Nova Ave,Yerevan,72.0,2.8
Center,80000.0,stone,Paronyan St,Yerevan,78.0,2.8
Center,95000.0,monolit,Argishti St,Yerevan,118.0,2.8
Center,40000.0,monolit,Argishti St,Yerevan,41.0,2.8
Center,40000.0,panel,Tigran Mets Ave,Yerevan,45.0,3.0
Center,40000.0,panel,Isakov Ave,Yerevan,72.0,3.0
Center,40000.0,panel,Zavaryan St,Yerevan,42.0,2.8
Center,37000.0,other,Arshakunyats Ave,Yerevan,40.0,2.8
Center,39000.0,stone,Kajaznuni St,Yerevan,37.0,2.8
Center,39000.0,stone,Arshakunyats Ave,Yerevan,60.0,2.8
Center,39000.0,other,M.Khorenatsi St,Yerevan,40.0,2.8
Center,85000.0,monolit,Ler. Kamsar St,Yerevan,80.0,2.8
Center,76000.0,other,Mashtots Ave,Yerevan,46.0,2.8
Center,68000.0,other,Mashtots Ave,Yerevan,42.0,2.8
Center,75000.0,stone,Mashtots Ave,Yerevan,50.0,2.8
Center,75000.0,stone,Mashtots Ave,Yerevan,36.0,2.8
Center,160000.0,monolit,Mashtots Ave,Yerevan,70.0,2.8
Center,160000.0,monolit,Aram St,Yerevan,102.0,2.8
Center,170000.0,stone,Hanrapetutyan St,Yerevan,127.0,3.2
Center,175000.0,stone,Mashtots Ave,Yerevan,114.0,3.2
Center,155000.0,stone,Tumanyan St,Yerevan,100.0,3.0
Center,47000.0,panel,E. Qochar St,Yerevan,75.0,2.8
Center,95000.0,other,Verin Antarayin,Yerevan,103.0,3.0
Center,230000.0,monolit,Aram St,Yerevan,138.0,2.8
Center,160000.0,other,Aghayan St,Yerevan,110.0,2.8
Center,170000.0,panel,Saryan St,Yerevan,123.0,2.8
Center,240000.0,monolit,Aram St,Yerevan,121.0,3.0
Center,40000.0,other,Zavaryan St,Yerevan,69.0,2.8
Center,70000.0,stone,Paronyan St,Yerevan,83.0,2.8
Center,40000.0,other,Agatangeghos St,Yerevan,100.0,2.8
Center,34000.0,other,Zavaryan St,Yerevan,44.0,2.8
Center,48000.0,other,E. Qochar St,Yerevan,75.0,2.8
Center,77000.0,panel,E. Qochar St,Yerevan,78.0,2.8
Center,50000.0,panel,Zavaryan St,Yerevan,70.0,2.8
Center,62000.0,monolit,Tsitsernakaberd Highway,Yerevan,76.0,2.8
Center,165000.0,monolit,Vardanants St,Yerevan,90.0,2.8
Center,48000.0,stone,Vardanants St,Yerevan,43.0,3.2
Center,37000.0,panel,Tigran Mets Ave,Yerevan,42.0,2.8
Center,37000.0,stone,Arshakunyats Ave,Yerevan,40.0,2.8
Center,37000.0,panel,Tigran Mets Ave,Yerevan,68.0,2.8
Center,175000.0,monolit,Vardanants St,Yerevan,90.0,3.0
Center,175000.0,monolit,Hin yerevantsi St,Yerevan,67.0,3.0
Center,155000.0,stone,Tamanyan St,Yerevan,57.0,3.2
Center,70000.0,other,Paronyan St,Yerevan,100.0,2.8
Center,80000.0,stone,Charents St,Yerevan,73.0,3.0
Center,50000.0,other,Nalbandyan St,Yerevan,48.0,3.0
Center,55000.0,stone,Ayas St,Yerevan,57.0,2.8
Center,67000.0,monolit,Dzorap St,Yerevan,58.0,3.2
Center,95000.0,monolit,Baghramyan Ave (Kentron),Yerevan,97.0,2.8
Center,160000.0,monolit,Buzand St,Yerevan,134.0,3.0
Center,55000.0,panel,Amiryan St,Yerevan,40.0,3.0
Center,175000.0,stone,Abovyan St,Yerevan,128.0,2.8
Center,68000.0,stone,Mashtots Ave,Yerevan,31.0,3.2
Center,145000.0,monolit,Sayat Nova Ave,Yerevan,90.0,3.0
Center,90000.0,stone,Moskovyan St,Yerevan,70.0,2.8
Center,48000.0,other,Amiryan St,Yerevan,41.0,2.8
Center,40000.0,stone,Mashtots Ave,Yerevan,38.0,2.8
Center,50000.0,panel,M.Khorenatsi St,Yerevan,85.0,2.8
Center,50000.0,panel,M.Khorenatsi St,Yerevan,85.0,2.8
Center,125000.0,stone,Paronyan St,Yerevan,91.0,2.8
Center,160000.0,stone,M.Khorenatsi St,Yerevan,98.0,2.8
Center,155000.0,stone,Sayat Nova Ave,Yerevan,109.0,3.0
Center,76000.0,panel,Abovyan St,Yerevan,78.0,2.8
Center,225000.0,monolit,Charents St,Yerevan,124.0,3.0
Center,150000.0,stone,Baghramyan Ave (Kentron),Yerevan,130.0,3.0
Center,95000.0,panel,Teryan St,Yerevan,75.0,2.8
Center,75000.0,panel,Lalayants st,Yerevan,53.0,2.8
Center,160000.0,monolit,Sayat Nova Ave,Yerevan,90.0,3.0
Center,160000.0,monolit,Buzand St,Yerevan,80.0,3.0
Center,170000.0,other,Abovyan St,Yerevan,128.0,2.8
Center,55000.0,panel,Arshakunyats Ave,Yerevan,86.0,2.8
Center,170000.0,panel,Tumanyan St,Yerevan,141.0,3.0
Center,48000.0,stone,Tigran Mets Ave,Yerevan,41.0,2.8
Center,110000.0,monolit,Tsitsernakaberd Highway,Yerevan,115.0,3.0
Center,69000.0,panel,Hin yerevantsi St,Yerevan,50.0,2.8
Center,125000.0,panel,Koghbatsi St,Yerevan,111.0,2.8
Center,80000.0,panel,Vardanants St,Yerevan,90.0,2.8
Center,220000.0,stone,Mashtots Ave,Yerevan,120.0,3.0
Center,97000.0,panel,Saryan St,Yerevan,71.0,2.8
Center,255000.0,stone,Mashtots Ave,Yerevan,110.0,3.2
Center,80000.0,panel,Koghbatsi St,Yerevan,42.0,2.8
Center,82000.0,stone,Koghbatsi St,Yerevan,65.0,2.8
Center,175000.0,monolit,Vardanants St,Yerevan,88.0,3.2
Center,130000.0,monolit,Sayat Nova Ave,Yerevan,90.0,3.2
Center,130000.0,monolit,Sayat Nova Ave,Yerevan,86.0,2.8
Center,130000.0,stone,Sayat Nova Ave,Yerevan,98.0,3.2
Center,130000.0,monolit,Aram St,Yerevan,82.0,3.0
Center,130000.0,stone,Mashtots Ave,Yerevan,116.0,3.0
Center,130000.0,monolit,Amiryan St,Yerevan,108.0,3.0
Center,130000.0,panel,Koghbatsi St,Yerevan,87.0,2.8
Center,130000.0,monolit,Amiryan St,Yerevan,90.0,3.0
Center,130000.0,monolit,Aram St,Yerevan,82.0,2.8
Center,165000.0,stone,M.Khorenatsi St,Yerevan,110.0,3.0
Center,130000.0,monolit,Aram St,Yerevan,100.0,3.0
Center,42000.0,panel,Kajaznuni St,Yerevan,65.0,2.8
Center,83000.0,panel,Tumanyan St,Yerevan,66.0,3.0
Center,228000.0,monolit,Antarayin St,Yerevan,140.0,3.0
Center,85000.0,panel,Saryan St,Yerevan,70.0,2.8
Center,71000.0,stone,A.Manukyan St,Yerevan,69.0,3.2
Center,95000.0,stone,Nalbandyan St,Yerevan,80.0,3.2
Center,90000.0,monolit,Antarayin St,Yerevan,55.0,3.2
Center,212500.0,monolit,Verin Antarayin,Yerevan,125.0,3.2
Center,122000.0,stone,Nalbandyan St,Yerevan,96.0,2.8
Center,115000.0,monolit,Argishti St,Yerevan,96.0,3.0
Center,140000.0,monolit,D. Demirchyan St,Yerevan,100.0,3.0
Center,125000.0,monolit,Israelyan St,Yerevan,130.0,2.8
Center,126000.0,panel,Koghbatsi St,Yerevan,100.0,2.8
Center,175000.0,monolit,Aram St,Yerevan,140.0,3.2
Center,115000.0,stone,Sayat Nova Ave,Yerevan,72.0,3.0
Center,80000.0,panel,Baghramyan Ave (Kentron),Yerevan,90.0,2.8
Center,150000.0,stone,Isahakyan St,Yerevan,75.0,3.0
Center,150000.0,stone,Pushkin St,Yerevan,70.0,3.0
Center,150000.0,stone,Mashtots Ave,Yerevan,133.0,3.0
Center,150000.0,monolit,Buzand St,Yerevan,60.0,3.2
Center,150000.0,stone,Antarayin St,Yerevan,110.0,3.2
Center,150000.0,panel,Saryan St,Yerevan,128.0,2.8
Center,150000.0,stone,Tumanyan St,Yerevan,65.0,3.2
Center,150000.0,monolit,Paronyan St,Yerevan,101.0,3.0
Center,150000.0,monolit,Vardanants St,Yerevan,113.0,3.0
Center,150000.0,stone,Abovyan St,Yerevan,119.0,2.8
Center,42000.0,panel,Kajaznuni St,Yerevan,53.0,2.8
Center,150000.0,stone,Vardanants St,Yerevan,69.0,3.2
Center,75000.0,stone,Moskovyan St,Yerevan,37.0,3.0
Center,39000.0,stone,Arshakunyats Ave,Yerevan,42.0,3.0
Center,110000.0,monolit,Argishti St,Yerevan,106.0,2.8
Center,60000.0,stone,Tigran Mets Ave,Yerevan,75.0,2.8
Center,150000.0,monolit,Baghramyan Ave  1 blind end,Yerevan,62.0,3.0
Center,152000.0,stone,Abovyan St,Yerevan,71.0,3.0
Center,150000.0,monolit,Amiryan St,Yerevan,110.0,3.0
Center,150000.0,stone,D. Demirchyan St,Yerevan,133.0,3.0
Center,150000.0,monolit,Saryan St,Yerevan,80.0,3.0
Center,150000.0,monolit,Tsitsernakaberd Highway,Yerevan,114.0,3.0
Center,150000.0,stone,Nalbandyan St,Yerevan,135.0,2.8
Center,150000.0,panel,Lalayants st,Yerevan,83.0,2.8
Center,150000.0,monolit,D. Demirchyan St,Yerevan,75.0,3.0
Center,150000.0,stone,Tumanyan St,Yerevan,105.0,3.2
Center,150000.0,stone,Tumanyan St,Yerevan,101.0,3.2
Center,150000.0,other,Amiryan St,Yerevan,81.0,2.8
Center,150000.0,stone,Tumanyan St,Yerevan,90.0,3.0
Center,38000.0,panel,D. Demirchyan St,Yerevan,45.0,3.0
Center,155000.0,stone,Sayat Nova Ave,Yerevan,106.0,2.8
Center,155000.0,stone,Abovyan St,Yerevan,100.0,2.8
Center,155000.0,stone,Sayat Nova Ave,Yerevan,110.0,2.8
Center,155000.0,other,D. Demirchyan St,Yerevan,84.0,3.0
Center,175000.0,monolit,Teryan St,Yerevan,120.0,2.8
Center,170000.0,stone,Sayat Nova Ave,Yerevan,92.0,2.8
Center,155000.0,stone,Mashtots Ave,Yerevan,74.0,3.0
Center,175000.0,stone,Mashtots Ave,Yerevan,102.0,3.0
Center,170000.0,monolit,Abovyan St,Yerevan,136.0,3.2
Center,170000.0,stone,Mashtots Ave,Yerevan,100.0,2.8
Center,175000.0,stone,Tumanyan St,Yerevan,100.0,3.0
Center,165000.0,monolit,Nalbandyan St,Yerevan,91.0,3.0
Center,165000.0,stone,Baghramyan Ave (Kentron),Yerevan,110.0,2.8
Center,160000.0,other,Vardanants St,Yerevan,88.0,3.0
Center,160000.0,stone,Mashtots Ave,Yerevan,100.0,2.8
Center,160000.0,stone,Mashtots Ave,Yerevan,120.0,3.2
Center,160000.0,stone,Teryan St,Yerevan,123.0,3.2
Center,160000.0,monolit,D. Demirchyan St,Yerevan,84.0,3.0
Center,160000.0,stone,Abovyan St,Yerevan,110.0,3.2
Center,160000.0,monolit,Tsitsernakaberd Highway,Yerevan,114.0,3.0
Center,160000.0,stone,Nalbandyan St,Yerevan,108.0,3.0
Center,165000.0,panel,Pushkin St,Yerevan,108.0,2.8
Center,163000.0,stone,Mashtots Ave,Yerevan,100.0,2.8
Center,160000.0,monolit,Paronyan St,Yerevan,101.0,2.8
Center,162000.0,monolit,Paronyan St,Yerevan,101.0,3.0
Center,164000.0,stone,Nalbandyan St,Yerevan,125.0,3.0
Center,162000.0,monolit,Aram St,Yerevan,86.0,3.0
Center,160000.0,stone,Mashtots Ave,Yerevan,100.0,3.2
Center,160000.0,stone,Mashtots Ave,Yerevan,100.0,3.2
Center,160000.0,other,Aram St,Yerevan,133.0,2.8
Center,160000.0,monolit,Vardanants St,Yerevan,90.0,3.0
Center,160000.0,stone,Hanrapetutyan St,Yerevan,94.0,3.2
Center,82000.0,panel,Tumanyan St,Yerevan,53.0,2.8
Center,160000.0,stone,Hanrapetutyan St,Yerevan,91.0,3.0
Center,160000.0,monolit,Vardanants St,Yerevan,88.0,3.0
Center,93000.0,stone,Saryan St,Yerevan,56.0,3.2
Center,167000.0,monolit,Koghbatsi St,Yerevan,60.0,2.8
Center,169000.0,stone,Charents St,Yerevan,110.0,3.2
Center,165000.0,monolit,Vardanants St,Yerevan,90.0,2.8
Center,160000.0,other,Vardanants St,Yerevan,88.0,2.8
Center,165000.0,monolit,Tsitsernakaberd Highway,Yerevan,107.0,2.8
Center,168000.0,monolit,Mashtots Ave,Yerevan,147.0,3.0
Center,165000.0,stone,Mashtots Ave,Yerevan,114.0,3.0
Center,165000.0,stone,Mashtots Ave,Yerevan,98.0,3.2
Center,165000.0,monolit,Antarayin St,Yerevan,145.0,3.2
Center,165000.0,monolit,Aram St,Yerevan,115.0,3.0
Center,165000.0,monolit,Tsitsernakaberd Highway,Yerevan,115.0,3.0
Center,165000.0,stone,Nalbandyan St,Yerevan,92.0,3.0
Center,165000.0,monolit,Sayat Nova Ave,Yerevan,89.0,3.0
Center,165000.0,stone,Tamanyan St,Yerevan,71.0,3.0
Center,175000.0,monolit,Tsitsernakaberd Highway,Yerevan,109.0,3.2
Center,175000.0,monolit,Ler. Kamsar St,Yerevan,125.0,3.0
Center,175000.0,panel,Saryan St,Yerevan,80.0,2.8
Center,175000.0,other,Aram St,Yerevan,93.0,3.0
Center,175000.0,monolit,Ler. Kamsar St,Yerevan,125.0,3.0
Center,175000.0,stone,Charents St,Yerevan,98.0,3.2
Center,174000.0,monolit,Vardanants St,Yerevan,90.0,3.2
Center,172000.0,stone,Tumanyan St,Yerevan,95.0,3.2
Center,173000.0,stone,Teryan St,Yerevan,120.0,3.2
Center,175000.0,stone,Hanrapetutyan St,Yerevan,94.0,3.2
Center,170000.0,monolit,Teryan St,Yerevan,120.0,3.0
Center,170000.0,stone,Teryan St,Yerevan,85.0,3.2
Center,170000.0,panel,Pushkin St,Yerevan,108.0,2.8
Center,172000.0,stone,Moskovyan St,Yerevan,100.0,2.8
Center,170000.0,monolit,Aram St,Yerevan,120.0,2.8
Center,170000.0,stone,Sayat Nova Ave,Yerevan,85.0,3.0
Center,170000.0,stone,Sayat Nova Ave,Yerevan,85.0,3.2
Center,170000.0,stone,Sayat Nova Ave,Yerevan,88.0,3.2
Center,170000.0,stone,Tamanyan St,Yerevan,67.0,3.2
Center,170000.0,stone,Hanrapetutyan St,Yerevan,100.0,2.8
Center,170000.0,monolit,A.Manukyan St,Yerevan,110.0,3.0
Center,170000.0,panel,Saryan St,Yerevan,128.0,2.8
Center,170000.0,other,Vardanants St,Yerevan,90.0,3.0
Center,175000.0,other,A.Manukyan St,Yerevan,140.0,2.8
Center,175000.0,other,Ler. Kamsar St,Yerevan,125.0,2.8
Center,175000.0,stone,Tumanyan St,Yerevan,141.0,2.8
Center,175000.0,monolit,Mashtots Ave,Yerevan,85.0,3.0
Center,155000.0,other,Sayat Nova Ave,Yerevan,106.0,2.8
Center,155000.0,stone,Abovyan St,Yerevan,65.0,3.0
Center,155000.0,monolit,Argishti St,Yerevan,112.0,2.8
Center,155000.0,stone,Sayat Nova Ave,Yerevan,110.0,3.2
Center,155000.0,stone,Teryan St,Yerevan,65.0,3.2
Center,155000.0,stone,Sayat Nova Ave,Yerevan,106.0,3.0
Center,153000.0,panel,Sayat Nova Ave,Yerevan,98.0,2.8
Center,155000.0,monolit,Argishti St,Yerevan,112.0,3.0
Center,155000.0,other,Mashtots Ave,Yerevan,74.0,2.8
Center,250000.0,stone,Mashtots Ave,Yerevan,115.0,3.2
Center,175000.0,monolit,Tsitsernakaberd Highway,Yerevan,115.0,2.8
Center,72000.0,monolit,Tsitsernakaberd Highway,Yerevan,70.0,2.8
Center,70000.0,stone,Baghramyan Ave (Kentron),Yerevan,67.0,3.0
Center,115000.0,panel,Saryan St,Yerevan,72.0,2.8
Center,125000.0,stone,Abovyan St,Yerevan,90.0,3.2
Center,70000.0,monolit,Tsitsernakaberd Highway,Yerevan,68.0,3.0
Center,110000.0,stone,Mashtots Ave,Yerevan,102.0,3.0
Center,70000.0,panel,E. Qochar St,Yerevan,81.0,2.8
Center,98000.0,monolit,Ler. Kamsar St,Yerevan,122.0,3.0
Center,93000.0,stone,Arshakunyats Ave,Yerevan,110.0,2.8
Center,60000.0,other,Argishti St,Yerevan,54.0,3.0
Center,140000.0,other,Pushkin St,Yerevan,91.0,2.8
Center,140000.0,stone,Sayat Nova Ave,Yerevan,100.0,2.8
Center,140000.0,stone,Sayat Nova Ave,Yerevan,110.0,3.2
Center,140000.0,stone,Sayat Nova Ave,Yerevan,100.0,3.0
Center,140000.0,monolit,Mashtots Ave,Yerevan,90.0,3.0
Center,140000.0,stone,Mashtots Ave,Yerevan,95.0,3.2
Center,94000.0,stone,Sayat Nova Ave,Yerevan,56.0,3.2
Center,80000.0,stone,Baghramyan Ave (Kentron),Yerevan,66.0,3.0
Center,115000.0,monolit,Pushkin St,Yerevan,92.0,2.8
Center,85000.0,stone,Mashtots Ave,Yerevan,68.0,2.8
