district,price,building_type,street,region,area,ceiling_height
Center,135000.0,other,Mashtots Ave,Yerevan,84.0,2.8
Center,200000.0,stone,Baghramyan Ave (Kentron),Yerevan,114.0,3.2
Center,39000.0,other,M.Khorenatsi St,Yerevan,41.0,2.8
Center,240000.0,monolit,Aram St,Yerevan,119.0,3.0
Center,74000.0,panel,M.Khorenatsi St,Yerevan,91.0,2.8
Center,325000.0,monolit,Northern Ave,Yerevan,123.0,3.0
Center,330000.0,other,Hin yerevantsi St,Yerevan,124.0,3.0
Center,330000.0,monolit,Aram St,Yerevan,135.0,3.2
Center,344000.0,monolit,Buzand St,Yerevan,137.0,2.8
Center,340000.0,monolit,Northern Ave,Yerevan,121.0,3.0
Center,340000.0,monolit,Northern Ave,Yerevan,128.0,3.0
Center,340000.0,monolit,Northern Ave,Yerevan,121.0,3.0
Center,340000.0,monolit,Northern Ave,Yerevan,128.0,3.0
Center,340000.0,monolit,Pushkin St,Yerevan,121.0,3.0
Center,340000.0,other,Northern Ave,Yerevan,130.0,3.0
Center,340000.0,monolit,Northern Ave,Yerevan,128.0,2.8
Center,340000.0,monolit,Northern Ave,Yerevan,128.0,3.0
Center,75000.0,stone,Baghramyan Ave (Kentron),Yerevan,66.0,2.8
Center,170000.0,panel,Saryan St,Yerevan,123.0,2.8
Center,220000.0,stone,Hanrapetutyan St,Yerevan,120.0,3.2
Center,100000.0,stone,Tpagrichner St,Yerevan,80.0,2.8
Center,92000.0,stone,Baghramyan Ave (Kentron),Yerevan,63.0,3.2
Center,82000.0,stone,Charents St,Yerevan,85.0,3.0
Center,125000.0,stone,Hanrapetutyan St,Yerevan,93.0,2.8
Center,83000.0,other,Saryan St,Yerevan,71.0,2.8
Center,98000.0,panel,Aygestan 9 St,Yerevan,111.0,2.8
Center,150000.0,stone,Sayat Nova Ave,Yerevan,109.0,2.8
Center,178200.0,monolit,Nalbandyan St,Yerevan,132.0,3.0
Center,87000.0,stone,G.Lusavorich St,Yerevan,78.0,2.6
Center,125000.0,stone,Sayat Nova Ave,Yerevan,105.0,3.2
Center,160000.0,monolit,Aram St,Yerevan,102.0,3.0
Center,85000.0,panel,Nar Dos 1 alley,Yerevan,105.0,2.8
Center,51000.0,panel,E. Qochar St,Yerevan,64.0,2.8
Center,280000.0,stone,Mashtots Ave,Yerevan,140.0,3.2
Center,280000.0,monolit,Aram St,Yerevan,130.0,3.0
Center,280000.0,other,Charents St,Yerevan,135.0,3.0
Center,280000.0,monolit,Aram St,Yerevan,130.0,3.2
Center,280000.0,monolit,Yekmalyan St,Yerevan,120.0,3.2
Center,280000.0,monolit,Northern Ave,Yerevan,120.0,3.0
Center,280000.0,monolit,Aram St,Yerevan,145.0,3.0
Center,280000.0,stone,Abovyan St,Yerevan,110.0,3.2
Center,280000.0,monolit,Yekmalyan St,Yerevan,119.0,3.0
Center,280000.0,stone,Mashtots Ave,Yerevan,111.0,2.8
Center,280000.0,monolit,Northern Ave,Yerevan,121.0,3.0
Center,280000.0,stone,Moskovyan St,Yerevan,130.0,3.2
Center,285000.0,other,Pushkin St,Yerevan,121.0,2.8
Center,285000.0,monolit,Buzand St,Yerevan,135.0,3.2
Center,285000.0,other,Sayat Nova Ave,Yerevan,140.0,3.0
Center,285000.0,other,Buzand St,Yerevan,135.0,2.8
Center,288000.0,monolit,Amiryan St,Yerevan,144.0,3.0
Center,285000.0,monolit,Pushkin St,Yerevan,121.0,3.0
Center,290000.0,stone,Teryan St,Yerevan,130.0,3.2
Center,290000.0,other,Vardanants St,Yerevan,130.0,2.8
Center,290000.0,monolit,Aram St,Yerevan,141.0,2.8
Center,105000.0,stone,Moskovyan St,Yerevan,70.0,3.2
Center,45000.0,panel,Bryusov St,Yerevan,91.0,2.8
Center,120000.0,monolit,M.Khorenatsi St,Yerevan,137.0,3.0
Center,82000.0,panel,Zavaryan St,Yerevan,92.0,2.8
Center,100000.0,stone,Tamanyan St,Yerevan,33.0,3.2
Center,73000.0,monolit,Tsitsernakaberd Highway,Yerevan,84.0,3.0
Center,120000.0,monolit,A.Manukyan St,Yerevan,107.0,3.0
Center,110000.0,stone,Sayat Nova Ave,Yerevan,95.0,3.2
Center,53000.0,stone,M.Khorenatsi St,Yerevan,78.0,3.2
Center,40000.0,panel,Kajaznuni St,Yerevan,38.0,2.8
Center,210000.0,monolit,Aram St,Yerevan,76.0,3.0
Center,75000.0,panel,Koghbatsi St,Yerevan,88.0,2.8
Center,330000.0,stone,Moskovyan St,Yerevan,110.0,3.2
Center,52000.0,stone,Tigran Mets Ave,Yerevan,78.0,2.8
Center,94000.0,monolit,Argishti St,Yerevan,95.0,3.0
Center,185000.0,monolit,Aram St,Yerevan,94.0,3.0
Center,85000.0,panel,M.Khorenatsi St,Yerevan,92.0,2.8
Center,130000.0,stone,Baghramyan Ave (Kentron),Yerevan,56.0,3.2
Center,54000.0,stone,NarDos St,Yerevan,68.0,2.8
Center,100000.0,panel,Bryusov St,Yerevan,98.0,2.8
Center,120000.0,other,Moskovyan St,Yerevan,51.0,2.8
Center,130000.0,stone,Sayat Nova Ave,Yerevan,96.0,3.2
Center,54000.0,stone,NarDos St,Yerevan,74.0,2.8
Center,50000.0,stone,Zakyan St,Yerevan,36.0,2.8
Center,91800.0,panel,Saryan St,Yerevan,85.0,2.6
Center,350000.0,other,Northern Ave,Yerevan,125.0,3.0
Center,350000.0,monolit,Abovyan St,Yerevan,104.0,3.2
Center,350000.0,monolit,Aram St,Yerevan,143.0,3.0
Center,350000.0,other,Northern Ave,Yerevan,104.0,3.0
Center,360000.0,stone,Northern Ave,Yerevan,139.0,3.0
Center,360000.0,other,Northern Ave,Yerevan,146.0,3.0
Center,360000.0,other,Northern Ave,Yerevan,146.0,3.0
Center,370000.0,monolit,Amiryan St,Yerevan,130.0,3.0
Center,57000.0,panel,Koghbatsi St,Yerevan,41.0,2.8
Center,85000.0,stone,Hanrapetutyan St,Yerevan,51.0,3.2
Center,93000.0,stone,Saryan St,Yerevan,54.0,3.0
Center,59000.0,stone,Aygestan 9 St,Yerevan,52.0,3.0
Center,180000.0,other,Teryan St,Yerevan,120.0,2.8
Center,131000.0,stone,Tumanyan St,Yerevan,107.0,3.2
Center,180000.0,stone,Abovyan St,Yerevan,117.0,3.2
Center,80000.0,stone,Hanrapetutyan St,Yerevan,48.0,2.8
Center,55000.0,stone,Tigran Mets Ave,Yerevan,66.0,2.8
Center,150000.0,other,Rostom St,Yerevan,130.0,2.8
Center,150000.0,stone,Mashtots Ave,Yerevan,116.0,3.0
Center,53000.0,panel,Koghbatsi St,Yerevan,55.0,2.8
Center,135000.0,stone,Saxarov St,Yerevan,96.0,3.0
Center,56000.0,stone,Tigran Mets Ave,Yerevan,66.0,2.8
Center,70000.0,stone,A.Manukyan St,Yerevan,72.0,2.8
Center,95000.0,monolit,Verin Antarayin,Yerevan,60.0,3.0
Center,175000.0,other,Sayat Nova Ave,Yerevan,115.0,3.2
Center,190000.0,stone,Tamanyan St,Yerevan,110.0,2.8
Center,178000.0,stone,Tumanyan St,Yerevan,141.0,2.8
Center,180000.0,other,Mashtots Ave,Yerevan,115.0,2.8
Center,185000.0,stone,Abovyan St,Yerevan,98.0,3.2
Center,150000.0,panel,Hin yerevantsi St,Yerevan,62.0,2.8
Center,192000.0,monolit,Sayat Nova Ave,Yerevan,120.0,3.2
Center,58000.0,stone,Vardanants St,Yerevan,34.0,2.8
Center,58000.0,panel,Vardanants St,Yerevan,66.0,2.8
Center,230000.0,stone,Teryan St,Yerevan,98.0,3.0
Center,150000.0,monolit,Saryan St,Yerevan,80.0,3.0
Center,90000.0,stone,Baghramyan Ave (Kentron),Yerevan,72.0,2.8
Center,95000.0,stone,Tumanyan St,Yerevan,74.0,3.0
Center,72000.0,panel,E. Qochar St,Yerevan,94.0,2.8
Center,120000.0,panel,Tumanyan St,Yerevan,80.0,2.8
Center,42000.0,panel,Vardanants St,Yerevan,38.0,2.8
Center,80000.0,other,Paronyan St,Yerevan,78.0,2.8
Center,135000.0,stone,Koryun St,Yerevan,100.0,3.2
Center,75000.0,panel,E. Qochar St,Yerevan,70.0,2.8
Center,135000.0,monolit,Ler. Kamsar St,Yerevan,92.0,3.2
Center,130000.0,panel,Pushkin St,Yerevan,110.0,3.0
Center,130000.0,panel,Saryan St,Yerevan,72.0,2.8
Center,130000.0,panel,Pushkin St,Yerevan,110.0,2.8
Center,130000.0,stone,Charents St,Yerevan,123.0,3.2
Center,130000.0,panel,Saryan St,Yerevan,90.0,2.8
Center,127000.0,monolit,Yekmalyan St,Yerevan,73.0,3.0
Center,127000.0,monolit,Pushkin St,Yerevan,72.0,3.0
Center,120000.0,monolit,Moskovyan St,Yerevan,96.0,2.8
Center,117000.0,panel,Pushkin St,Yerevan,96.0,2.8
Center,120000.0,panel,D. Demirchyan St,Yerevan,85.0,2.8
Center,120000.0,monolit,Moskovyan St,Yerevan,96.0,3.0
Center,127000.0,stone,Teryan St,Yerevan,58.0,3.0
Center,120000.0,other,Mashtots Ave,Yerevan,63.0,2.8
Center,120000.0,stone,Nalbandyan St,Yerevan,120.0,2.8
Center,120000.0,monolit,Argishti St,Yerevan,103.0,3.0
Center,120000.0,monolit,Argishti St,Yerevan,103.0,3.0
Center,120000.0,monolit,Moskovyan St,Yerevan,95.0,3.0
Center,120000.0,stone,Nalbandyan St,Yerevan,117.0,2.8
Center,120000.0,stone,D. Demirchyan St,Yerevan,82.0,3.0
Center,120000.0,monolit,Verin Antarayin,Yerevan,90.0,3.0
Center,120000.0,stone,Baghramyan Ave (Kentron),Yerevan,100.0,2.8
Center,120000.0,monolit,Buzand St,Yerevan,60.0,3.2
Center,120000.0,stone,Paronyan St,Yerevan,91.0,2.8
Center,110000.0,panel,Koghbatsi St,Yerevan,86.0,2.8
Center,120000.0,stone,Tumanyan St,Yerevan,80.0,3.0
Center,120000.0,panel,Sayat Nova Ave,Yerevan,110.0,2.8
Center,109000.0,monolit,Aram St,Yerevan,78.0,3.2
Center,110000.0,monolit,Koghbatsi St,Yerevan,97.0,2.8
Center,110000.0,monolit,Verin Antarayin,Yerevan,86.0,3.0
Center,110000.0,monolit,Argishti St,Yerevan,104.0,2.8
Center,110000.0,stone,Leo St,Yerevan,100.0,2.8
Center,110000.0,other,Amiryan St,Yerevan,90.0,2.8
Center,105000.0,stone,Tumanyan St,Yerevan,72.0,2.8
Center,105000.0,stone,Abovyan St,Yerevan,70.0,2.8
Center,105000.0,stone,Tumanyan St,Yerevan,72.0,3.0
Center,100000.0,stone,Nar Dos 1 alley,Yerevan,92.0,3.0
Center,49000.0,stone,Tigran Mets Ave,Yerevan,48.0,2.8
Center,51000.0,other,Argishti St,Yerevan,53.0,3.0
Center,50000.0,stone,Nalbandyan St,Yerevan,49.0,2.8
Center,41000.0,stone,A.Manukyan St,Yerevan,38.0,3.2
Center,60000.0,stone,Sayat Nova Ave,Yerevan,50.0,2.8
Center,68500.0,stone,A.Manukyan St,Yerevan,72.0,2.8
Center,57000.0,stone,Heratsi St,Yerevan,67.0,3.0
Center,85000.0,panel,Zavaryan St,Yerevan,70.0,2.8
Center,85000.0,panel,Paronyan St,Yerevan,84.0,3.0
Center,70000.0,stone,Paronyan St,Yerevan,82.0,3.2
Center,60000.0,monolit,Argishti St,Yerevan,53.0,3.0
Center,60000.0,other,Argishti St,Yerevan,56.0,2.8
Center,60000.0,stone,Mashtots Ave,Yerevan,71.0,2.8
Center,225000.0,monolit,Aram St,Yerevan,120.0,3.0
Center,85000.0,panel,Pushkin St,Yerevan,82.0,2.8
Center,60000.0,panel,Kajaznuni St,Yerevan,98.0,2.8
Center,60000.0,panel,Saryan St,Yerevan,71.0,2.8
Center,130000.0,stone,Tumanyan St,Yerevan,42.0,3.2
Center,80000.0,stone,Amiryan St,Yerevan,36.0,3.2
Center,62000.0,stone,Paronyan St,Yerevan,45.0,3.0
Center,47000.0,other,M.Khorenatsi St,Yerevan,47.0,2.8
Center,40000.0,panel,M.Khorenatsi St,Yerevan,40.0,2.8
Center,65000.0,stone,Mashtots Ave,Yerevan,71.0,3.2
Center,65000.0,stone,Mashtots Ave,Yerevan,71.0,3.2
